dates,sea_breeze_passage_time_tagged,sea_breeze_passage_time_latlon,tagged_location,latlon_location,orca_logs_location
2022-07-12,23:18,23:43,Waller,Hempstead,Waller
2022-07-13,17:32,16:57,Galveston,LaPorte,Galveston
2022-07-13,22:46,16:57,Waller,LaPorte,Waller
2022-07-20,NaT,NaT,Galveston,Waller,Galveston
2022-07-26,NaT,21:00,UH_Costal_Center,Waller,NoDeploy
2022-07-27,NaT,NaT,Galveston,Galveston,Galveston
2022-07-28,20:31,20:31,Waller,Waller,Waller
2022-07-29,NaT,18:45,Galveston,Bear_Creek_Park,Galveston
2022-07-29,20:05,18:45,Waller,Bear_Creek_Park,Waller
2022-07-30,16:45,16:45,Galveston,Galveston,Galveston
2022-07-30,21:29,NaT,Cypress,Galveston,Cypress
2022-08-07,NaT,NaT,Galveston,UH_Costal_Center,Galveston
2022-08-07,NaT,NaT,Hempstead,UH_Costal_Center,Hempstead
2022-08-08,NaT,NaT,Galveston,LaPorte,Galveston
2022-08-08,22:08,NaT,Hempstead,LaPorte,Hempstead
2022-08-09,16:22,NaT,Galveston,Cypress,Galveston
2022-08-09,22:22,NaT,Hempstead,Cypress,Hempstead
2022-08-10,22:08,NaT,Bear_Creek_Park,UH_Costal_Center,Bear_Creek_Park
2022-08-18,NaT,NaT,LaPorte,UH_Costal_Center,NoDeploy
2022-08-21,NaT,NaT,Waller,Galveston,Waller
2022-08-22,NaT,NaT,Hockley,Galveston,Hockley
2022-08-23,NaT,NaT,UH_Costal_Center,Hempstead,UH_Costal_Center
2022-08-24,NaT,NaT,UH_Costal_Center,Galveston,UH_Costal_Center
2022-08-26,17:29,NaT,Galveston,Galveston,Galveston
2022-08-26,22:12,NaT,Waller,Galveston,Waller
2022-08-27,NaT,NaT,Hempstead,Waller,Hempstead
2022-08-28,14:44,NaT,Galveston,UH_Costal_Center,Galveston
2022-08-28,21:42,NaT,Hempstead,UH_Costal_Center,Hempstead
2022-08-31,15:46,NaT,Galveston,UH_Costal_Center,Galveston
2022-09-01,NaT,NaT,LaPorte,Galveston,NoDeploy
2022-09-06,20:23,NaT,Hockley,LaPorte,Hockley
2022-09-07,NaT,NaT,Hockley,Galveston,Hockley
2022-09-09,NaT,NaT,LaPorte,Galveston,NoDeploy
2022-09-17,16:03,NaT,Galveston,Galveston,Galveston
2022-09-17,21:53,NaT,Hockley,Galveston,Hockley
2022-09-18,15:58,NaT,Galveston,UH_Costal_Center,Galveston
2022-09-18,NaT,NaT,Hockley,UH_Costal_Center,Hockley
2022-09-19,14:20,NaT,Galveston,Hempstead,Galveston
2022-09-19,NaT,NaT,Hempstead,Hempstead,Hempstead
2022-09-21,16:24,NaT,UH_Costal_Center,Waller,NoDeploy
2022-09-22,19:18,NaT,UH_Costal_Center,Galveston,NoDeploy
2022-09-23,20:02,NaT,UH_Costal_Center,Hempstead,NoDeploy
2022-09-25,14:43,NaT,Galveston,Cypress,Galveston
2022-09-25,NaT,NaT,Hockley,Cypress,Hockley